    date          smb          hml        mktrf          rf          umd
20050103    -0.006200    -0.000400    -0.009700     0.00008    -0.006700
20050104    -0.005900     0.004200    -0.013000     0.00008     0.002500
20050105    -0.011100     0.000100    -0.005100     0.00008     0.000100
20050106    -0.001400     0.001400     0.003400     0.00008     0.000500
20050107    -0.007600    -0.000200    -0.002200     0.00008    -0.001700
20050110     0.002800     0.000500     0.004200     0.00008     0.006900
20050111    -0.003500     0.003000    -0.006800     0.00008     0.003000
20050112    -0.000500    -0.001600     0.003800     0.00008     0.002400
20050113     0.001300     0.003800    -0.007700     0.00008     0.009800
20050114     0.005500     0.000700     0.006600     0.00008     0.003200
20050118     0.001700    -0.001700     0.009700     0.00008     0.000700
20050119    -0.001400     0.004900    -0.009700     0.00008     0.005700
20050120    -0.001200    -0.000600    -0.007700     0.00008    -0.006300
20050121     0.003000     0.002500    -0.005600     0.00008     0.003100
20050124    -0.007900     0.006100    -0.004900     0.00008    -0.000200
20050125     0.001900    -0.003700     0.003400     0.00008    -0.001900
20050126     0.009500    -0.002100     0.006200     0.00008     0.002500
20050127     0.001700     0.000300     0.000800     0.00008     0.003600
20050128    -0.002600     0.001800    -0.003000     0.00008     0.000900
20050131     0.007800     0.001600     0.009700     0.00008     0.007000
20050201    -0.000900     0.001900     0.006900     0.00009     0.004100
20050202     0.002400     0.001600     0.003600     0.00009     0.002500
20050203    -0.001600     0.003900    -0.002700     0.00009     0.005100
20050204     0.001300    -0.005400     0.011200     0.00009    -0.002900
20050207     0.001300    -0.000300    -0.001100     0.00009    -0.003000
20050208     0.002400    -0.001600     0.000800     0.00009     0.000800
20050209    -0.011800     0.007200    -0.010000     0.00009     0.000100
20050210    -0.003400     0.000600     0.003500     0.00009     0.003600
20050211     0.004400    -0.003100     0.007700     0.00009    -0.003400
20050214    -0.000100     0.001400     0.000900     0.00009     0.003600
20050215    -0.003600    -0.000100     0.002800     0.00009     0.001000
20050216     0.004200     0.004000     0.000700     0.00009     0.010600
20050217    -0.002900     0.002100    -0.007900     0.00009     0.002200
20050218    -0.000800    -0.000400     0.000100     0.00009     0.000100
20050222    -0.003200    -0.001200    -0.014700     0.00009    -0.004400
20050223    -0.001300     0.002400     0.005300     0.00009     0.004600
20050224     0.002400    -0.002400     0.008300     0.00009     0.007800
20050225     0.003800     0.003800     0.009700     0.00009     0.008200
20050228     0.002700     0.000400    -0.006100     0.00009     0.001900
20050301     0.001100     0.000200     0.005800     0.00010    -0.009300
20050302    -0.001700     0.000400    -0.000100     0.00010     0.007600
20050303     0.000800     0.005400    -0.000100     0.00010     0.004500
20050304    -0.000200     0.003200     0.008900     0.00010     0.008100
20050307    -0.003800     0.000000     0.002700     0.00010    -0.004300
20050308    -0.004100    -0.000700    -0.005400     0.00010     0.000500
20050309     0.000500    -0.000700    -0.009600     0.00010    -0.008600
20050310    -0.008300    -0.002200     0.000100     0.00010    -0.008800
20050311     0.005600     0.005200    -0.005500     0.00010     0.010900
20050314    -0.002300     0.001100     0.006100     0.00010    -0.003700
20050315     0.001900     0.002700    -0.006700     0.00010     0.003700
20050316     0.002100     0.001100    -0.008400     0.00010     0.000100
20050317     0.000500     0.005100     0.001900     0.00010     0.008300
20050318    -0.003200    -0.000400    -0.001300     0.00010     0.004600
20050321     0.003700    -0.002000    -0.003800     0.00010    -0.002100
20050322     0.006900    -0.001200    -0.009200     0.00010     0.002000
20050323    -0.009000    -0.005100    -0.001200     0.00010    -0.010800
20050324     0.004500    -0.000800     0.000100     0.00010     0.001800
20050328    -0.002300    -0.000300     0.001500     0.00010    -0.000200
20050329    -0.008300     0.000600    -0.008600     0.00010    -0.007100
20050330     0.001200    -0.002200     0.013500     0.00010    -0.000400
20050331    -0.000500     0.006400     0.000000     0.00010     0.008700
20050401     0.000100     0.004300    -0.006400     0.00010     0.015500
20050404     0.000000     0.001900     0.002900     0.00010     0.000900
20050405    -0.001500    -0.002400     0.004000     0.00010    -0.002400
20050406    -0.001100     0.000400     0.002200     0.00010     0.003000
20050407     0.000100    -0.001700     0.005700     0.00010    -0.003600
20050408    -0.004500     0.000400    -0.008800     0.00010    -0.004900
20050411    -0.006500     0.000200    -0.000900     0.00010     0.004100
20050412     0.002400    -0.000900     0.005600     0.00010    -0.004000
20050413    -0.003400    -0.001700    -0.012200     0.00010    -0.005700
20050414    -0.005600    -0.002600    -0.011000     0.00010    -0.007600
20050415    -0.001300    -0.003700    -0.015900     0.00010    -0.007800
20050418     0.003200     0.002300     0.002900     0.00010     0.005100
20050419     0.008200     0.001200     0.007500     0.00010     0.010800
20050420    -0.002300     0.000600    -0.013500     0.00010    -0.004600
20050421     0.003300    -0.005600     0.018700     0.00010     0.002800
20050422    -0.008400     0.004300    -0.008300     0.00010     0.003900
20050425     0.000600     0.000000     0.009300     0.00010     0.006700
20050426    -0.005200    -0.001300    -0.008800     0.00010    -0.003800
20050427    -0.005400    -0.002500     0.003000     0.00010    -0.007500
20050428    -0.009900     0.003600    -0.012000     0.00010    -0.006100
20050429    -0.004000    -0.000400     0.010400     0.00010     0.000700
20050502     0.004800     0.000600     0.005200     0.00011     0.005700
20050503    -0.000100    -0.003100    -0.000400     0.00011    -0.007700
20050504     0.002800     0.004000     0.012800     0.00011     0.000700
20050505     0.002900    -0.003900    -0.001900     0.00011     0.005000
20050506     0.003300     0.001600    -0.000300     0.00011     0.004400
20050509     0.003000    -0.000400     0.006100     0.00011     0.001800
20050510    -0.001500    -0.000100    -0.010300     0.00011    -0.003400
20050511    -0.004100    -0.001300     0.003900     0.00011    -0.000500
20050512    -0.001800    -0.007400    -0.010200     0.00011    -0.015400
20050513    -0.000700    -0.006600    -0.005000     0.00011    -0.010300
20050516     0.005000    -0.001700     0.010300     0.00011    -0.000700
20050517    -0.002400     0.002900     0.006600     0.00011     0.005000
20050518     0.009600    -0.002500     0.011500     0.00011    -0.001800
20050519    -0.001000    -0.000800     0.004700     0.00011     0.001000
20050520    -0.000400     0.002600    -0.001300     0.00011    -0.003500
20050523     0.001900    -0.000200     0.004300     0.00011     0.005700
20050524     0.000100     0.000000     0.000500     0.00011     0.000900
20050525    -0.005800     0.001900    -0.004400     0.00011     0.003000
20050526     0.006600     0.000900     0.007400     0.00011     0.001700
20050527     0.001000     0.003200     0.001800     0.00011     0.004200
20050531     0.004700     0.002800    -0.004900     0.00011     0.005300
20050601     0.001800     0.000000     0.009000     0.00010     0.000600
20050602     0.001300    -0.002300     0.002400     0.00010    -0.000500
20050603    -0.002100     0.004800    -0.006700     0.00010     0.006400
20050606     0.003200     0.001200     0.001400     0.00010     0.003100
20050607     0.001400     0.001000    -0.000300     0.00010    -0.002300
20050608    -0.003800     0.003600    -0.002800     0.00010    -0.003300
20050609     0.003200    -0.001100     0.005800     0.00010     0.006200
20050610     0.001100     0.005400    -0.002100     0.00010    -0.002000
20050613     0.001300     0.001800     0.002800     0.00010     0.000800
20050614     0.004900     0.003900     0.003100     0.00010    -0.000900
20050615     0.002200     0.002100     0.002200     0.00010     0.001800
20050616     0.006400    -0.002700     0.004600     0.00010     0.001100
20050617    -0.005900     0.001900     0.003600     0.00010     0.003200
20050620    -0.003300     0.000900    -0.000700     0.00010     0.000300
20050621     0.001000    -0.000500    -0.001800     0.00010    -0.004400
20050622     0.002800    -0.000700     0.000500     0.00010     0.001600
20050623    -0.004300     0.001500    -0.010700     0.00010    -0.000200
20050624    -0.000400     0.001100    -0.007200     0.00010     0.001100
20050627    -0.001200     0.005500    -0.000700     0.00010     0.009200
20050628     0.010900    -0.005000     0.010500     0.00010    -0.002200
20050629     0.003100     0.001200    -0.000700     0.00010    -0.000700
20050630     0.002000     0.002700    -0.006300     0.00010     0.002800
20050701     0.001100     0.003100     0.003200     0.00012     0.003800
20050705     0.005700    -0.001900     0.009200     0.00012     0.005600
20050706     0.000700     0.000600    -0.007300     0.00012    -0.002500
20050707    -0.001100    -0.002400     0.002600     0.00012     0.003800
20050708     0.007800    -0.005400     0.012100     0.00012    -0.005000
20050711     0.007800    -0.001400     0.006900     0.00012     0.000500
20050712    -0.002800    -0.000400     0.002000     0.00012     0.000100
20050713    -0.004100     0.000700     0.000200     0.00012    -0.004600
20050714    -0.006600    -0.004400     0.001400     0.00012    -0.010100
20050715    -0.000300    -0.000300     0.001200     0.00012     0.002100
20050718    -0.001600     0.001000    -0.005500     0.00012     0.002000
20050719     0.009100    -0.001100     0.007500     0.00012     0.003700
20050720     0.007800    -0.002600     0.005400     0.00012    -0.000300
20050721    -0.006100     0.001400    -0.007400     0.00012    -0.008500
20050722     0.009500     0.005400     0.005700     0.00012     0.006600
20050725    -0.005200     0.001200    -0.004700     0.00012     0.000300
20050726     0.002800     0.002200     0.002100     0.00012    -0.000100
20050727    -0.003700    -0.000400     0.004300     0.00012     0.002100
20050728     0.005400    -0.001600     0.006700     0.00012     0.006300
20050729     0.002300     0.001100    -0.006600     0.00012     0.002300
20050801     0.002700    -0.001200     0.001500     0.00013     0.002700
20050802     0.000500     0.001100     0.007000     0.00013     0.001900
20050803    -0.006600    -0.000500    -0.000200     0.00013    -0.001400
