  PERMNO        date            RET        vwretd        ewretd        sprtrn
   77702    20070103      -0.004799     -0.001347     -0.000159     -0.001199
   77702    20070104       0.001135      0.000547      0.000591      0.001228
   77702    20070105      -0.004251     -0.007288     -0.009809     -0.006085
   77702    20070108      -0.003700      0.002567      0.001731      0.002220
   77702    20070109      -0.004284     -0.000001      0.000262     -0.000517
   77702    20070110      -0.003155      0.002096      0.001338      0.001940
   77702    20070111       0.030504      0.007322      0.007760      0.006340
   77702    20070112       0.002513      0.006142      0.006821      0.004853
   77702    20070116       0.008914      0.000314      0.000561      0.000818
   77702    20070117       0.001933     -0.000623     -0.000106     -0.000894
   77702    20070118      -0.014329     -0.004686     -0.007338     -0.002971
   77702    20070119      -0.006430      0.004345      0.005339      0.002895
   77702    20070122      -0.007034     -0.005371     -0.004337     -0.005278
   77702    20070123      -0.009634      0.005220      0.006200      0.003542
   77702    20070124      -0.004578      0.008813      0.006918      0.008501
   77702    20070125      -0.023570     -0.010733     -0.007872     -0.011270
   77702    20070126      -0.002649      0.000092      0.003034     -0.001208
   77702    20070129       0.020071      0.000142      0.003428     -0.001097
   77702    20070130       0.000000      0.005777      0.005123      0.005772
   77702    20070131       0.010995      0.006344      0.003520      0.006593
   77702    20070201      -0.015169      0.006259      0.006416      0.005354
   77702    20070202      -0.004069      0.001256      0.002299      0.001694
   77702    20070205      -0.007295     -0.000608     -0.001074     -0.000967
   77702    20070206      -0.010288      0.001509      0.003197      0.000698
   77702    20070207       0.000000      0.002194      0.003716      0.001395
   77702    20070208      -0.007425     -0.000428      0.001075     -0.001179
   77702    20070209      -0.013764     -0.006907     -0.004901     -0.007077
   77702    20070212      -0.008799     -0.003885     -0.002915     -0.003261
   77702    20070213      -0.000306      0.008050      0.005359      0.007597
   77702    20070214       0.020821      0.007226      0.004639      0.007644
   77702    20070215      -0.003599      0.001728      0.001444      0.001038
   77702    20070216      -0.006322      0.000505      0.002640     -0.000872
   77702    20070220      -0.005756      0.003575      0.005982      0.002844
   77702    20070221      -0.012797     -0.000291      0.001667     -0.001404
   77702    20070222       0.018827     -0.000382      0.002277     -0.000858
   77702    20070223      -0.007876     -0.002571      0.000068     -0.003564
   77702    20070226      -0.022592     -0.001259     -0.001080     -0.001254
   77702    20070227      -0.039366     -0.034111     -0.031232     -0.034725
   77702    20070228       0.004878      0.004746      0.003802      0.005561
   77702    20070301      -0.016505     -0.002848     -0.004932     -0.002595
   77702    20070302      -0.016782     -0.012475     -0.011435     -0.011403
   77702    20070305      -0.015730     -0.012016     -0.017184     -0.009408
   77702    20070306       0.020061      0.016743      0.017683      0.015494
   77702    20070307       0.015667     -0.001346      0.000064     -0.002465
   77702    20070308       0.007548      0.007243      0.005598      0.007127
   77702    20070309      -0.012704      0.001629      0.001708      0.000685
   77702    20070312      -0.007918      0.003146      0.004002      0.002673
   77702    20070313      -0.023612     -0.020152     -0.017483     -0.020368
   77702    20070314      -0.001362      0.005427      0.002280      0.006691
   77702    20070315       0.009209      0.004783      0.006076      0.003684
   77702    20070316       0.033457     -0.003609     -0.003144     -0.003828
   77702    20070319       0.015043      0.011054      0.007394      0.010894
   77702    20070320       0.010954      0.006793      0.005634      0.006334
   77702    20070321       0.028362      0.016755      0.012048      0.017081
   77702    20070322      -0.019523     -0.000143      0.002375     -0.000348
   77702    20070323      -0.006953      0.001714      0.002268      0.001094
   77702    20070326       0.016868      0.000552      0.000050      0.000968
   77702    20070327      -0.007199     -0.005695     -0.004883     -0.006184
   77702    20070328      -0.013871     -0.006998     -0.004442     -0.007966
   77702    20070329       0.001598      0.003515      0.001980      0.003740
   77702    20070330       0.000958     -0.000367      0.002461     -0.001174
   77702    20070402      -0.003508      0.003036      0.002025      0.002597
   77702    20070403       0.007680      0.008916      0.006778      0.009280
   77702    20070404      -0.004763      0.001486      0.001204      0.001113
   77702    20070405       0.001914      0.003625      0.003187      0.003050
