date      bndPeresi     pg        sp
19620131 -0.05601368 -0.09872149 -0.03861194
19620228 -0.08284356 -0.04006707 0.01613906
19620330 -0.06191003 0.07567874 -0.005877237
19620430 -0.03312392 -0.05544506 -0.06397335
19620531 -0.03030392 -0.1077712 -0.08991377
19620629 -0.175707 -0.14842 -0.08538143
19620731 0.06621523 0.1115414 0.06162365
19620831 0.007420159 -0.009033681 0.01516838
19620928 0.003850263 -0.1173296 -0.0494077
19621031 -0.002395185 0.03607635 0.004433159
19621130 -0.07090555 0.1175626 0.09672463
19621231 -0.001923759 0.003514816 0.01340179
19630131 0.0006631316 0.03312912 0.04795934
19630228 0.0514242 -0.03119866 -0.0292764
19630329 -0.1059771 0.04138568 0.03484964
19630430 0.06520851 0.05456489 0.04737965
19630531 -0.07425519 -0.01620764 0.01422534
19630628 -0.00317386 -0.009852376 -0.02040477
19630731 0.1250007 -0.02811454 -0.003466
19630830 -0.08057068 0.07239973 0.04759803
19630930 0.04686411 0.00316997 -0.01109533
19631031 -0.06747358 0.008194335 0.03170989
19631129 -0.01671422 0 -0.01059493
19631231 0.071966 0.007855068 0.02415003
19640131 -0.01887311 0.03309236 0.02656987
19640228 -0.03518633 -0.006106607 0.009816659
19640331 0.05314893 0.03609371 0.01505313
19640430 0.07644275 -0.03532878 0.00605861
19640528 -0.07425233 -0.01238437 0.01138692
19640630 0.03098142 0.03067759 0.01629058
19640731 -0.06027956 0.0231441 0.01807565
19640831 -0.0599196 0.0014829 -0.01636315
19640930 0.02176336 0.004434155 0.02831337
19641030 -0.06579336 -0.009633251 0.008045548
19641130 -0.1102589 -0.05539855 -0.005198489
19641231 0.05457738 0.03115558 0.00390138
19650129 0.01609221 -0.0411731 0.0326182
19650226 -0.05947046 -0.03102328 -0.001486104
19650331 0.1097222 -0.02179479 -0.01463254
19650430 -0.02961872 0.0295588 0.03366589
19650528 -0.07891406 -0.021758 -0.007773133
19650630 0.07643584 -0.02224254 -0.04985433
19650730 0.02280707 0.02511496 0.01334358
19650831 -0.02160525 -0.03103669 0.02227212
19650930 -0.04741113 0.005240246 0.03150448
19651029 0.01727154 -0.01456556 0.0269778
19651130 -0.01669999 0.01763754 -0.00880263
19651231 -0.05356932 -0.03017059 0.008911177
19660131 0.1678012 0.008968661 0.004857185
19660228 -0.1087063 -0.07466105 -0.01803465
19660331 0.1768883 0.0229897 -0.02205647
19660429 -0.1165423 -0.05849601 0.02030152
19660531 0.06712799 0.03578887 -0.05566071
19660630 0.03314323 0.003898391 -0.01626964
19660729 -0.04207376 0.04749218 -0.01354431
19660831 -0.0684467 0.03489792 -0.08094003
19660930 0.1237189 0.03720522 -0.007028643
