date    hstarts
1959.083 96.2
1959.167 99
1959.25 127.7
1959.333 150.8
1959.417 152.5
1959.5 147.8
1959.583 148.1
1959.667 138.2
1959.75 136.4
1959.833 120
1959.917 104.7
1960 95.6
1960.083 86
1960.167 90.7
1960.25 90.5
1960.333 123
1960.417 130.2
1960.5 122.8
1960.583 114.3
1960.667 130.3
1960.75 96.9
1960.833 110.4
1960.917 92.8
1961 64.2
1961.083 70.4
1961.167 74.1
1961.25 104.2
1961.333 112.8
1961.417 127.6
1961.5 134.8
1961.583 126.6
1961.667 127.1
1961.75 125.4
1961.833 124.8
1961.917 103
1962 82.2
1962.083 81.2
1962.167 77.1
1962.25 116.2
1962.333 147.8
1962.417 155.2
1962.5 136.8
1962.583 136.5
1962.667 147.7
1962.75 114.3
1962.833 135.2
1962.917 120.9
1963 93.9
1963.083 79
1963.167 89.6
1963.25 124.8
1963.333 164.2
1963.417 172.7
1963.5 154.2
1963.583 151.3
1963.667 144
1963.75 143.7
1963.833 165.3
1963.917 119.3
1964 95
1964.083 97.9
1964.167 101.3
1964.25 129.1
1964.333 147.1
1964.417 152.8
1964.5 157.2
1964.583 140.6
1964.667 138.3
1964.75 119.8
1964.833 141.2
1964.917 110.6
1965 93
1965.083 81.7
1965.167 80.9
1965.25 119.9
1965.333 148.6
1965.417 153.3
1965.5 151.8
1965.583 139.1
1965.667 128.3
1965.75 124.6
1965.833 133.1
1965.917 110.5
1966 101.1
1966.083 79.4
1966.167 76.2
1966.25 118.1
1966.333 140.9
1966.417 130
1966.5 120.6
1966.583 99.2
1966.667 101.8
1966.75 89.1
1966.833 76.6
1966.917 72.8
1967 60.2
1967.083 59.1
1967.167 61.4
1967.25 91.5
1967.333 113.7
1967.417 132
1967.5 125.4
1967.583 125.3
1967.667 127.4
1967.75 121.9
1967.833 135.4
1967.917 118.4
1968 80.1
1968.083 80.5
1968.167 84.6
1968.25 126.6
1968.333 162
1968.417 140.9
1968.5 137.9
1968.583 139.8
1968.667 136.6
1968.75 134.2
1968.833 140.8
1968.917 127.1
1969 96.4
1969.083 101.5
1969.167 90.1
1969.25 131.9
1969.333 159
1969.417 155.5
1969.5 147.3
1969.583 125.2
1969.667 124.9
1969.75 129.3
1969.833 123.4
1969.917 94.6
1970 84.1
1970.083 66.4
1970.167 74.3
1970.25 114.7
1970.333 128.4
1970.417 125
1970.5 135.2
1970.583 140.8
1970.667 128.7
1970.75 130.9
1970.833 140.9
1970.917 126.9
1971 121.4
1971.083 110.6
1971.167 102.2
1971.25 167.9
1971.333 201.1
1971.417 198.5
1971.5 193.8
1971.583 194.3
1971.667 204.5
1971.75 173.8
1971.833 179.7
1971.917 173.7
1972 152.1
1972.083 149.1
1972.167 152.2
1972.25 203.9
1972.333 211.6
1972.417 225.8
1972.5 223.1
1972.583 206.5
1972.667 228.6
1972.75 203
1972.833 216.5
1972.917 185.7
1973 150.5
1973.083 146.6
1973.167 138
1973.25 200
1973.333 205
1973.417 234
1973.5 202.6
1973.583 202.6
1973.667 197.2
1973.75 148.4
1973.833 147.1
1973.917 133.3
1974 90.4
1974.083 84.5
1974.167 109.4
1974.25 124.8
1974.333 159.5
1974.417 149
1974.5 147.6
1974.583 126.6
1974.667 111.1
1974.75 98.3
1974.833 96.7
1974.917 75.1
1975 55.1
1975.083 56.1
1975.167 54.7
1975.25 80.2
1975.333 97.9
1975.417 116.1
1975.5 110.3
1975.583 119.3
1975.667 117.3
1975.75 111.9
1975.833 123.6
1975.917 96.9
1976 76.1
1976.083 72.5
1976.167 89.9
1976.25 118.4
1976.333 137.2
1976.417 147.9
1976.5 154.2
1976.583 136.6
1976.667 145.9
1976.75 151.8
1976.833 148.4
1976.917 127.1
1977 107.4
1977.083 81.3
1977.167 112.5
1977.25 173.6
1977.333 182.2
1977.417 201.3
1977.5 197.6
1977.583 189.8
1977.667 194
1977.75 177.7
1977.833 193.1
1977.917 154.8
1978 129.2
1978.083 88.6
1978.167 101.3
1978.25 172.1
1978.333 197.5
1978.417 211
1978.5 216
1978.583 192.2
1978.667 190.9
1978.75 180.5
1978.833 192.1
1978.917 158.6
1979 119.5
1979.083 88.2
1979.167 84.5
1979.25 152.9
1979.333 161
1979.417 189.1
1979.5 191.8
1979.583 164.2
1979.667 170.3
1979.75 163.7
1979.833 169
1979.917 118.7
1980 91.6
1980.083 73.1
1980.167 79.9
1980.25 85.1
1980.333 96.2
1980.417 91.7
1980.5 116.4
1980.583 120.1
1980.667 129.9
1980.75 138.3
1980.833 152.7
1980.917 112.9
1981 95.9
1981.083 84.5
1981.167 71.9
1981.25 107.8
1981.333 123
1981.417 109.9
1981.5 105.8
1981.583 99.9
1981.667 86.3
1981.75 84.1
1981.833 87.2
1981.917 64.6
1982 59.1
1982.083 47.2
1982.167 51.3
1982.25 78.2
1982.333 84.1
1982.417 98.8
1982.5 91.1
1982.583 106.8
1982.667 96
1982.75 106.4
1982.833 110.5
1982.917 108.9
1983 82.9
1983.083 91.3
1983.167 96.3
1983.25 134.6
1983.333 135.8
1983.417 174.9
1983.5 173.2
1983.583 161.6
1983.667 176.8
1983.75 154.9
1983.833 159.3
1983.917 136
1984 108.3
1984.083 109.1
1984.167 130
1984.25 137.5
1984.333 172.7
1984.417 180.7
1984.5 184
1984.583 162.1
1984.667 147.4
1984.75 148.5
1984.833 152.3
1984.917 126.2
1985 98.9
1985.083 105.4
1985.167 95.4
1985.25 145
1985.333 175.8
1985.417 170.2
1985.5 163.2
1985.583 160.7
1985.667 160.7
1985.75 147.7
1985.833 173
1985.917 124.1
1986 120.5
1986.083 115.6
1986.167 107.2
1986.25 151
1986.333 188.2
1986.417 186.6
1986.5 183.6
1986.583 172
1986.667 163.8
1986.75 154
1986.833 154.8
1986.917 115.6
1987 113
1987.083 105.1
1987.167 102.8
1987.25 141.2
1987.333 159.3
1987.417 158
1987.5 162.9
1987.583 152.4
1987.667 143.6
1987.75 152
1987.833 139.1
1987.917 118.8
1988 85.4
1988.083 78.2
1988.167 90.2
1988.25 128.8
1988.333 153.2
1988.417 140.2
1988.5 150.2
1988.583 137
1988.667 136.8
1988.75 131.1
1988.833 135.1
1988.917 113
1989 94.2
1989.083 100.1
1989.167 85.8
1989.25 117.8
1989.333 129.4
1989.417 131.7
1989.5 143.2
1989.583 134.7
1989.667 122.4
1989.75 109.3
1989.833 130.1
1989.917 96.6
1990 75
1990.083 99.2
1990.167 86.9
1990.25 108.5
1990.333 119
1990.417 121.1
1990.5 117.8
1990.583 111.2
1990.667 102.8
1990.75 93.1
1990.833 94.2
1990.917 81.4
1991 57.4
1991.083 52.5
1991.167 59.1
1991.25 73.8
1991.333 99.7
1991.417 97.7
1991.5 103.4
1991.583 103.5
1991.667 94.7
1991.75 86.6
1991.833 101.8
1991.917 75.6
1992 65.6
1992.083 71.6
1992.167 78.8
1992.25 111.6
1992.333 107.6
1992.417 115.2
1992.5 117.8
1992.583 106.2
1992.667 109.9
1992.75 106
1992.833 111.8
1992.917 84.5
1993 78.6
1993.083 70.5
1993.167 74.6
1993.25 95.5
1993.333 117.8
1993.417 120.9
1993.5 128.5
1993.583 115.3
1993.667 121.8
1993.75 118.5
1993.833 123.3
1993.917 102.3
1994 98.7
1994.083 76.2
1994.167 83.5
1994.25 134.3
1994.333 137.6
