  PERMNO        date            ko         vwretd
   11308    19520131       0.024390      0.017002
   11308    19520229       0.009524     -0.025141
   11308    19520331       0.016509      0.045870
   11308    19520430      -0.016393     -0.049148
   11308    19520529       0.028571      0.032847
   11308    19520630       0.046296      0.039575
   11308    19520731       0.008929      0.011404
   11308    19520829      -0.008850     -0.006733
   11308    19520930      -0.031250     -0.019147
   11308    19521031      -0.004651     -0.005309
   11308    19521128       0.059579      0.059347
   11308    19521231      -0.014590      0.031066
   11308    19530130       0.056948     -0.001644
   11308    19530227       0.058190     -0.001820
   11308    19530331      -0.037678     -0.012862
   11308    19530430      -0.022412     -0.027705
   11308    19530529       0.013100      0.006921
   11308    19530630      -0.038793     -0.016377
   11308    19530731       0.026018      0.025111
   11308    19530831      -0.038589     -0.044056
   11308    19530930       0.009174      0.003010
   11308    19531030      -0.013761      0.047523
   11308    19531130       0.034884      0.028501
   11308    19531231       0.016018      0.000678
   11308    19540129       0.076577      0.052722
   11308    19540226       0.002092      0.017551
   11308    19540331       0.034447      0.037377
   11308    19540430      -0.019329      0.043162
   11308    19540528      -0.012448      0.031704
   11308    19540630      -0.007353      0.011560
   11308    19540730       0.007471      0.050668
   11308    19540831      -0.025424     -0.022763
   11308    19540930       0.013043      0.064633
   11308    19541029      -0.056277     -0.016216
   11308    19541130       0.025229      0.095387
   11308    19541231       0.031891      0.055469
   11308    19550131       0.028698      0.006838
   11308    19550228       0.030043      0.031354
   11308    19550331      -0.018750     -0.000995
   11308    19550429       0.047109      0.032352
   11308    19550531      -0.006135      0.012033
   11308    19550630       0.111111      0.066108
   11308    19550729       0.016791      0.020246
   11308    19550831      -0.005505      0.004197
   11308    19550930      -0.050738     -0.002009
   11308    19551031      -0.014691     -0.025752
   11308    19551130       0.015905      0.071864
   11308    19551230      -0.007952      0.016543
   11308    19560131      -0.002004     -0.028119
   11308    19560229       0.002008      0.039610
   11308    19560329       0.016032      0.068456
   11308    19560430       0.020875      0.005083
   11308    19560531      -0.057449     -0.049309
   11308    19560629      -0.035124      0.037251
   11308    19560731       0.002160      0.050830
   11308    19560831      -0.036638     -0.029820
   11308    19560928      -0.046980     -0.049608
   11308    19561031      -0.021327      0.007292
   11308    19561130      -0.004843      0.004678
   11308    19561231      -0.022333      0.034957
   11308    19570131       0.060914     -0.032121
   11308    19570228      -0.019139     -0.018703
   11308    19570329       0.002439      0.024112
   11308    19570430       0.019656      0.045179
   11308    19570531       0.036145      0.036679
   11308    19570628      -0.013953     -0.005054
   11308    19570731       0.005952      0.008938
   11308    19570830      -0.046154     -0.050051
   11308    19570930      -0.019851     -0.057586
   11308    19571031       0.017903     -0.041251
   11308    19571129       0.055276      0.025605
   11308    19571231      -0.048544     -0.037360
   11308    19580131       0.067602      0.049595
   11308    19580228       0.077658     -0.014257
   11308    19580331      -0.013304      0.033700
   11308    19580430       0.063492      0.030833
   11308    19580529      -0.019190      0.024582
   11308    19580630       0.039130      0.029493
   11308    19580731      -0.010549      0.044844
   11308    19580829      -0.025586      0.019181
   11308    19580930      -0.013129      0.048680
   11308    19581031       0.033557      0.027184
   11308    19581128       0.086580      0.030610
   11308    19581231       0.056680      0.053099
   11308    19590130      -0.068966      0.009120
   11308    19590227       0.074074      0.011220
   11308    19590331      -0.021073      0.004669
   11308    19590430       0.043393      0.037899
   11308    19590529       0.113422      0.019595
   11308    19590630       0.014431      0.000676
   11308    19590731       0.041281      0.034362
   11308    19590831      -0.006472     -0.012446
   11308    19590930       0.008143     -0.044977
   11308    19591030       0.019512      0.015746
   11308    19591130       0.007974      0.018557
   11308    19591231      -0.029126      0.028043
   11308    19600129      -0.018333     -0.066244
   11308    19600229       0.018676      0.014419
   11308    19600331       0.069500     -0.012822
   11308    19600429      -0.030733     -0.015271
   11308    19600531       0.146341      0.034098
   11308    19600630       0.052766      0.022833
   11308    19600729       0.036735     -0.022705
   11308    19600831       0.007874      0.032215
   11308    19600930       0.007422     -0.058673
   11308    19601031      -0.001957     -0.004705
   11308    19601130       0.146667      0.048617
   11308    19601230       0.108621      0.048537
   11308    19610131       0.009331      0.063952
   11308    19610228       0.103236      0.037005
   11308    19610330       0.012291      0.030610
   11308    19610428      -0.050000      0.005645
   11308    19610531       0.087719      0.025894
   11308    19610630      -0.058065     -0.028499
   11308    19610731       0.008621      0.029955
   11308    19610831       0.022792      0.026854
   11308    19610929       0.034540     -0.019990
   11308    19611031       0.005420      0.027331
   11308    19611130       0.125067      0.045451
   11308    19611229      -0.002410      0.000713
   11308    19620131      -0.099034     -0.036147
   11308    19620228      -0.016086      0.019512
   11308    19620330       0.041962     -0.004688
   11308    19620430      -0.026316     -0.063435
   11308    19620531      -0.091892     -0.084620
   11308    19620629      -0.082143     -0.082615
   11308    19620731       0.120915      0.065438
   11308    19620831      -0.007289      0.023414
   11308    19620928      -0.070778     -0.050154
   11308    19621031       0.012739      0.002184
   11308    19621130       0.092453      0.110137
   11308    19621231      -0.011594      0.011865
   11308    19630131       0.058651      0.051848
   11308    19630228      -0.002770     -0.021931
   11308    19630329       0.046389      0.032917
   11308    19630430      -0.010695      0.047439
   11308    19630531       0.005405      0.020051
   11308    19630628       0.015323     -0.018030
   11308    19630731       0.018667     -0.001718
   11308    19630830       0.070681      0.052684
   11308    19630930       0.004156     -0.011898
   11308    19631031       0.014706      0.027708
   11308    19631129       0.019807     -0.005549
   11308    19631231       0.102503      0.021736
   11308    19640131       0.021622      0.025790
   11308    19640228       0.003175      0.017207
   11308    19640331       0.067511      0.017636
   11308    19640430       0.005964      0.004608
   11308    19640528       0.009881      0.017403
   11308    19640630       0.034247      0.015080
   11308    19640731       0.050428      0.020118
   11308    19640831      -0.009058     -0.011266
   11308    19640930      -0.007313      0.030480
   11308    19641030      -0.033333      0.008869
   11308    19641130       0.032567      0.003089
   11308    19641231       0.050373      0.003690
   11308    19650129       0.094139      0.038646
   11308    19650226       0.022727      0.006946
   11308    19650331      -0.062857     -0.009715
   11308    19650430       0.074957      0.033652
   11308    19650528      -0.001585     -0.004350
   11308    19650630      -0.018413     -0.051868
   11308    19650730       0.001626      0.016759
   11308    19650831       0.019481      0.030883
   11308    19650930       0.005414      0.031952
   11308    19651029      -0.015924      0.029271
   11308    19651130       0.057282      0.003065
   11308    19651231       0.058462      0.013545
   11308    19660131      -0.002907      0.012122
   11308    19660228      -0.072886     -0.008621
   11308    19660331       0.062579     -0.020923
   11308    19660429      -0.071429      0.024837
   11308    19660531       0.016026     -0.052539
   11308    19660630      -0.049211     -0.010317
   11308    19660729       0.030050     -0.012870
   11308    19660831      -0.027553     -0.075388
   11308    19660930      -0.000333     -0.006958
   11308    19661031       0.105705      0.042294
   11308    19661130       0.049772      0.017516
   11308    19661230       0.042151      0.006210
   11308    19670131       0.059972      0.085530
   11308    19670228       0.057895      0.010945
   11308    19670331       0.032587      0.043384
   11308    19670428       0.096852      0.041609
   11308    19670531      -0.004415     -0.039293
   11308    19670630       0.097783      0.026903
   11308    19670731       0.035497      0.049189
   11308    19670831      -0.061704     -0.006282
   11308    19670929       0.037787      0.034286
   11308    19671031       0.000000     -0.027433
   11308    19671130       0.119394      0.007902
   11308    19671229      -0.039855      0.033699
   11308    19680131      -0.049057     -0.036330
   11308    19680229       0.011905     -0.033624
   11308    19680329       0.051176      0.005116
   11308    19680430       0.097378      0.094148
   11308    19680531       0.006826      0.027041
   11308    19680628       0.000678      0.011527
   11308    19680730      -0.047619     -0.022024
   11308    19680830       0.046429      0.018038
   11308    19680930      -0.018089      0.044454
   11308    19681031      -0.001745      0.009041
   11308    19681129       0.044406      0.058502
   11308    19681231      -0.038655     -0.033873
   11308    19690131       0.003497     -0.006711
   11308    19690228      -0.047038     -0.053640
   11308    19690328       0.039561      0.030506
   11308    19690430       0.019435      0.020526
   11308    19690529       0.039861      0.005040
