 DATE      hour minute second       PRICE      SIZE
20100104     5 34 26    57.5600      200
20100104     8 00 05    56.9900      600
20100104     8 15 50    57.3700      205
20100104     8 19 36    57.3700      100
20100104     8 19 40    57.3300      300
20100104     8 30 41    57.3300      100
20100104     8 36 52    57.4600      100
20100104     8 41 21    57.4500      353
20100104     8 41 25    57.4900      100
20100104     8 42 38    57.4900      400
20100104     8 43 12    57.5500      100
20100104     8 44 13    57.5600      149
20100104     8 47 05    57.5500      300
20100104     8 50 49    57.5100      100
20100104     8 59 16    57.6200      200
20100104     8 59 16    57.6200      100
20100104     8 59 16    57.6200      350
20100104     9 00 02    57.5400     3000
20100104     9 00 17    57.6000      300
20100104     9 00 23    57.6000      500
20100104     9 06 08    57.6200      100
20100104     9 06 23    57.6500      100
20100104     9 06 35    57.6500      400
20100104     9 07 09    57.6500      400
20100104     9 07 09    57.6500      100
20100104     9 13 50    57.6500      400
20100104     9 26 09    56.9900     4329
20100104     9 30 00    57.6500     3910
20100104     9 30 00    57.6500     3910
20100104     9 30 00    57.7000      400
20100104     9 30 00    57.6800      100
20100104     9 30 00    57.6900      300
20100104     9 30 01    57.6500      462
20100104     9 30 01    57.6500      100
20100104     9 30 01    57.6500      100
20100104     9 30 01    57.6500      100
20100104     9 30 01    57.7000      100
20100104     9 30 01    57.7000      100
20100104     9 30 01    57.7200      500
20100104     9 30 01    57.7200      100
20100104     9 30 02    57.7300      100
20100104     9 30 03    57.7300      300
20100104     9 30 03    57.7200      100
20100104     9 30 04    57.7200      300
20100104     9 30 05    57.5700      100
20100104     9 30 05    57.5700      500
20100104     9 30 05    57.5600      300
20100104     9 30 10    57.5600      100
20100104     9 30 11    57.8500      100
20100104     9 30 11    57.8500      200
20100104     9 30 11    57.5600      100
20100104     9 30 14    57.8000      100
20100104     9 30 14    57.8200      100
20100104     9 30 23    57.7600      100
20100104     9 30 35    57.5500      100
20100104     9 30 35    57.5600      100
20100104     9 30 35    57.5400      100
20100104     9 30 35    57.7500      100
20100104     9 30 35    57.7600      300
20100104     9 30 35    57.7300      100
20100104     9 30 35    57.7600      200
20100104     9 30 35    57.7700      200
20100104     9 30 35    57.7700      100
20100104     9 30 36    57.7700      100
20100104     9 30 42    57.5400    83600
20100104     9 30 42    57.5700      100
20100104     9 30 42    57.5500      100
20100104     9 30 42    57.5500      100
20100104     9 30 42    57.5500      100
20100104     9 30 42    57.5500      100
20100104     9 30 42    57.5500      100
20100104     9 30 42    57.5500      100
20100104     9 30 42    57.5500     2400
20100104     9 30 42    57.5600      100
20100104     9 30 42    57.5500      100
20100104     9 30 42    57.5500      100
20100104     9 30 42    57.5500      100
20100104     9 30 42    57.5400      170
20100104     9 30 42    57.5400      200
20100104     9 30 42    57.5500      200
20100104     9 30 42    57.5500      100
20100104     9 30 42    57.5400      100
20100104     9 30 42    57.5400      100
20100104     9 30 42    57.5400      900
20100104     9 30 42    57.5500      100
20100104     9 30 42    57.5400      100
20100104     9 30 42    57.5500      200
20100104     9 30 42    57.5500      200
20100104     9 30 43    57.5500      100
20100104     9 30 43    57.5500      100
20100104     9 30 43    57.5100      100
20100104     9 30 43    57.5400      100
20100104     9 30 43    57.5500      100
20100104     9 30 43    57.5500      100
20100104     9 30 43    57.5900      100
20100104     9 30 43    57.6000      200
20100104     9 30 43    57.6000      100
20100104     9 30 44    57.5300      600
20100104     9 30 44    57.5305      100
20100104     9 30 45    57.5300      100
20100104     9 30 45    57.5300      100
20100104     9 30 45    57.5300      500
20100104     9 30 45    57.5700      100
20100104     9 30 45    57.5500      100
20100104     9 30 45    57.5700      100
20100104     9 30 45    57.5699      100
20100104     9 30 45    57.5900      200
20100104     9 30 45    57.6000      100
20100104     9 30 45    57.6000      300
20100104     9 30 45    57.6000      200
20100104     9 30 45    57.5699      100
20100104     9 30 45    57.5899      200
20100104     9 30 45    57.5999      100
20100104     9 30 45    57.5999      300
20100104     9 30 45    57.5999      200
20100104     9 30 45    57.5900      100
20100104     9 30 45    57.6000      900
20100104     9 30 45    57.5600      100
20100104     9 30 46    57.5750      100
20100104     9 30 46    57.5500      400
20100104     9 30 46    57.5800      100
20100104     9 30 47    57.5700      100
20100104     9 30 47    57.5800      100
20100104     9 30 47    57.5500      100
20100104     9 30 49    57.5500      800
20100104     9 30 49    57.5800      100
20100104     9 30 49    57.5800      100
20100104     9 30 49    57.5650      100
20100104     9 30 49    57.5600      100
20100104     9 30 49    57.5600      100
20100104     9 30 49    57.6000      100
20100104     9 30 49    57.6000      100
20100104     9 30 49    57.5600      300
20100104     9 30 49    57.5600      100
20100104     9 30 49    57.5600      100
20100104     9 30 49    57.5600      100
20100104     9 30 49    57.5600      100
20100104     9 30 52    57.5600      400
20100104     9 30 53    57.6000      100
20100104     9 30 53    57.5999      100
20100104     9 30 54    57.6000      100
20100104     9 30 54    57.5600      400
20100104     9 30 54    57.5600      400
20100104     9 30 54    57.5500      500
20100104     9 30 54    57.5500      100
20100104     9 30 54    57.5500      100
20100104     9 30 54    57.5500      800
20100104     9 30 54    57.5100      100
20100104     9 30 54    57.5100      100
20100104     9 30 54    57.5100      100
20100104     9 30 54    57.5100      100
20100104     9 30 55    57.5500      200
20100104     9 30 55    57.5500      200
20100104     9 30 55    57.5500      200
20100104     9 30 55    57.5100      100
20100104     9 30 55    57.5100      100
20100104     9 30 57    57.5400      600
20100104     9 30 57    57.5400      100
20100104     9 30 58    57.5400      300
20100104     9 30 58    57.5100      800
20100104     9 30 58    57.5100      300
20100104     9 30 58    57.5100      100
20100104     9 30 58    57.5100      100
20100104     9 30 58    57.5101      900
20100104     9 30 58    57.5400      100
20100104     9 30 58    57.5400      100
20100104     9 30 58    57.5400      100
20100104     9 30 59    57.5300      100
20100104     9 30 59    57.5300      100
20100104     9 30 59    57.5300      100
20100104     9 30 59    57.5100      100
20100104     9 30 59    57.5100      100
20100104     9 30 59    57.5100      100
20100104     9 30 59    57.5250      100
20100104     9 30 59    57.5250      100
20100104     9 30 59    57.5300      100
20100104     9 30 59    57.5400      100
20100104     9 30 59    57.5900      200
20100104     9 30 59    57.6000     1800
20100104     9 30 59    57.5300      200
20100104     9 31 00    57.5100      100
20100104     9 31 00    57.5100      200
20100104     9 31 00    57.5100      400
20100104     9 31 00    57.5100      100
20100104     9 31 00    57.5100      100
20100104     9 31 00    57.5100      100
20100104     9 31 00    57.5100      200
20100104     9 31 00    57.5100      100
20100104     9 31 00    57.5100      100
20100104     9 31 01    57.5100      700
20100104     9 31 01    57.5300      400
20100104     9 31 01    57.5300      100
20100104     9 31 01    57.5300      100
20100104     9 31 01    57.5300      100
20100104     9 31 01    57.5300      100
20100104     9 31 01    57.5400     1000
20100104     9 31 01    57.5400      200
20100104     9 31 01    57.5250      100
20100104     9 31 01    57.5400      100
20100104     9 31 01    57.5400      100
20100104     9 31 01    57.5250      100
20100104     9 31 01    57.5300      100
20100104     9 31 01    57.5200      100
20100104     9 31 01    57.5200      100
20100104     9 31 01    57.5200      100
20100104     9 31 01    57.5200      100
20100104     9 31 01    57.5200      100
20100104     9 31 01    57.5400      100
20100104     9 31 01    57.5400      100
20100104     9 31 01    57.5400      100
20100104     9 31 01    57.5400      100
20100104     9 31 01    57.5400      100
20100104     9 31 02    57.5600      100
20100104     9 31 02    57.5600      100
20100104     9 31 03    57.6000      175
20100104     9 31 03    57.5500      200
20100104     9 31 03    57.5500      500
20100104     9 31 03    57.5500      400
20100104     9 31 04    57.5400      200
20100104     9 31 04    57.5400      100
20100104     9 31 04    57.5400      700
20100104     9 31 04    57.5500      100
20100104     9 31 04    57.5500      300
20100104     9 31 04    57.5500      100
20100104     9 31 04    57.5500      100
20100104     9 31 04    57.5400      100
20100104     9 31 04    57.5400      300
20100104     9 31 04    57.5300      100
20100104     9 31 04    57.5500      700
20100104     9 31 04    57.5500      100
20100104     9 31 04    57.5500      100
20100104     9 31 04    57.5500      200
20100104     9 31 04    57.5500      100
20100104     9 31 04    57.5500      100
20100104     9 31 04    57.5500      100
20100104     9 31 05    57.5900      100
20100104     9 31 05    57.5900      100
20100104     9 31 05    57.5700      100
20100104     9 31 05    57.6000      200
20100104     9 31 05    57.6000      300
20100104     9 31 05    57.6100     1100
20100104     9 31 05    57.6200      100
20100104     9 31 05    57.6400      200
20100104     9 31 05    57.6300      100
20100104     9 31 05    57.6500      382
20100104     9 31 06    57.5700      100
20100104     9 31 06    57.5700      100
20100104     9 31 06    57.5700      100
20100104     9 31 07    57.5900      200
20100104     9 31 08    57.6000      300
20100104     9 31 09    57.6100      100
20100104     9 31 09    57.6100      100
20100104     9 31 10    57.6400      100
20100104     9 31 10    57.6000      300
20100104     9 31 10    57.6000      100
20100104     9 31 10    57.6000      100
20100104     9 31 10    57.6000      100
20100104     9 31 10    57.6000      100
20100104     9 31 10    57.6000      100
20100104     9 31 10    57.6000      100
20100104     9 31 10    57.6000      100
20100104     9 31 10    57.6000      200
20100104     9 31 10    57.6000      100
20100104     9 31 10    57.6000      100
20100104     9 31 10    57.6000      100
20100104     9 31 10    57.6000      100
20100104     9 31 10    57.6200      100
20100104     9 31 10    57.6200      100
20100104     9 31 10    57.6100      100
20100104     9 31 10    57.6100      100
20100104     9 31 10    57.6100      300
20100104     9 31 10    57.6300      100
20100104     9 31 10    57.6100      100
20100104     9 31 10    57.6100      100
20100104     9 31 10    57.6100      100
20100104     9 31 10    57.6000      100
20100104     9 31 10    57.6300      100
20100104     9 31 10    57.6200      400
20100104     9 31 10    57.6200      100
20100104     9 31 10    57.6300      100
20100104     9 31 10    57.6100      100
20100104     9 31 12    57.6399      100
20100104     9 31 13    57.6000      100
20100104     9 31 13    57.5800      100
20100104     9 31 13    57.5800      100
20100104     9 31 14    57.5700      100
20100104     9 31 14    57.5800      200
20100104     9 31 14    57.5700      100
20100104     9 31 15    57.5805     1000
20100104     9 31 15    57.5700      100
20100104     9 31 15    57.5700      100
20100104     9 31 15    57.5700      100
20100104     9 31 15    57.5700      100
20100104     9 31 15    57.5700      100
20100104     9 31 15    57.5700      100
20100104     9 31 15    57.5700      100
20100104     9 31 15    57.5700      100
20100104     9 31 15    57.6200      100
20100104     9 31 15    57.6300      100
20100104     9 31 15    57.5950      100
20100104     9 31 15    57.5950      100
20100104     9 31 15    57.6300      100
20100104     9 31 15    57.6400      100
20100104     9 31 15    57.6400      100
20100104     9 31 15    57.6400      100
20100104     9 31 15    57.6400      100
20100104     9 31 15    57.6400      100
20100104     9 31 15    57.6100      100
20100104     9 31 15    57.6500      900
20100104     9 31 16    57.6600      100
20100104     9 31 17    57.5900      600
20100104     9 31 17    57.5900      100
20100104     9 31 17    57.5900      100
20100104     9 31 17    57.6250      100
20100104     9 31 17    57.6250      100
20100104     9 31 17    57.6593      300
20100104     9 31 17    57.6600      200
20100104     9 31 17    57.6600      100
20100104     9 31 17    57.6600      200
20100104     9 31 17    57.6593      400
20100104     9 31 17    57.6600      400
20100104     9 31 17    57.6600      200
20100104     9 31 17    57.6600      400
20100104     9 31 21    57.6600      200
20100104     9 31 21    57.6800      100
20100104     9 31 21    57.6600      100
20100104     9 31 21    57.6900      400
20100104     9 31 21    57.6900      800
20100104     9 31 22    57.6900      100
20100104     9 31 23    57.6900      700
20100104     9 31 23    57.6200      100
20100104     9 31 23    57.6200      100
20100104     9 31 23    57.6200      100
20100104     9 31 23    57.6200      100
20100104     9 31 23    57.6200      100
20100104     9 31 23    57.6200      200
20100104     9 31 23    57.6200      100
20100104     9 31 23    57.6200      100
20100104     9 31 23    57.6900      200
20100104     9 31 27    57.6820      100
20100104     9 31 27    57.6825      100
20100104     9 31 27    57.6900      100
20100104     9 31 27    57.6900      100
20100104     9 31 27    57.6750      100
20100104     9 31 27    57.7000      600
20100104     9 31 27    57.6750      100
20100104     9 31 27    57.7000      200
20100104     9 31 27    57.7000      100
20100104     9 31 27    57.7000      100
20100104     9 31 27    57.7000      100
20100104     9 31 27    57.6800      200
20100104     9 31 27    57.7000      100
20100104     9 31 30    57.7000      500
20100104     9 31 30    57.6900      100
20100104     9 31 31    57.6900      100
20100104     9 31 31    57.6900      100
20100104     9 31 31    57.6900      100
20100104     9 31 31    57.6900      400
20100104     9 31 31    57.6900      100
20100104     9 31 31    57.6800      100
20100104     9 31 31    57.6800      100
20100104     9 31 32    57.6800      100
20100104     9 31 32    57.6800      100
20100104     9 31 32    57.6800      100
20100104     9 31 32    57.6800      100
20100104     9 31 32    57.6800      300
20100104     9 31 32    57.6800      100
20100104     9 31 32    57.6800      100
20100104     9 31 32    57.7000      900
20100104     9 31 32    57.7000      100
20100104     9 31 33    57.6800      100
20100104     9 31 33    57.7000      200
20100104     9 31 35    57.6800      100
20100104     9 31 35    57.6900      100
20100104     9 31 35    57.6800      100
20100104     9 31 35    57.6900      200
20100104     9 31 35    57.6900      100
20100104     9 31 35    57.6900      100
20100104     9 31 35    57.6900      100
20100104     9 31 35    57.6900      100
20100104     9 31 35    57.6900      100
20100104     9 31 35    57.7000      100
20100104     9 31 35    57.7000      100
20100104     9 31 35    57.7000      100
20100104     9 31 35    57.7000      100
20100104     9 31 35    57.7000      100
20100104     9 31 35    57.6900      200
20100104     9 31 35    57.7000      100
20100104     9 31 35    57.7000      100
20100104     9 31 35    57.7000      100
20100104     9 31 35    57.7000      100
20100104     9 31 37    57.7400      100
20100104     9 31 37    57.7100      100
20100104     9 31 37    57.7100      100
20100104     9 31 37    57.7100      100
20100104     9 31 37    57.7100      100
20100104     9 31 37    57.6900      100
20100104     9 31 38    57.7300      100
20100104     9 31 38    57.7100      100
20100104     9 31 38    57.7100      100
20100104     9 31 38    57.7100      100
20100104     9 31 38    57.7100      100
20100104     9 31 38    57.7100      100
20100104     9 31 38    57.7200      100
20100104     9 31 38    57.7200      100
20100104     9 31 38    57.7500      100
20100104     9 31 38    57.7500      300
20100104     9 31 38    57.7700      300
20100104     9 31 38    57.7100      100
20100104     9 31 41    57.6700      100
20100104     9 31 42    57.7101      180
20100104     9 31 43    57.7700      100
20100104     9 31 43    57.7200      100
20100104     9 31 43    57.7200      100
20100104     9 31 43    57.7200      100
20100104     9 31 43    57.7200      100
20100104     9 31 44    57.7500      100
20100104     9 31 44    57.7600      100
20100104     9 31 44    57.7600      100
20100104     9 31 44    57.7200      100
20100104     9 31 44    57.7200      200
20100104     9 31 44    57.6600      100
20100104     9 31 44    57.6600      100
20100104     9 31 44    57.6500      100
20100104     9 31 44    57.6500      100
20100104     9 31 44    57.6500      100
20100104     9 31 44    57.6600      500
20100104     9 31 44    57.7200      100
20100104     9 31 44    57.6600      200
20100104     9 31 44    57.6600      100
20100104     9 31 44    57.6600      300
20100104     9 31 44    57.6600      200
20100104     9 31 44    57.6600      400
20100104     9 31 44    57.6500      100
20100104     9 31 44    57.6500      100
20100104     9 31 44    57.7200      100
20100104     9 31 44    57.7200      100
20100104     9 31 44    57.7200      100
20100104     9 31 44    57.7200      100
20100104     9 31 44    57.6600      100
20100104     9 31 44    57.6600      400
20100104     9 31 44    57.6600      200
20100104     9 31 44    57.6600      100
20100104     9 31 44    57.6600      300
20100104     9 31 44    57.6600      100
