category change duration size
4 0 2.46e-05 631.03
7 0.17 0.8172109 0.01
1 -0.17 1.786163 0.03
2 -0.01 1.344361 0.67
3 -0.01 1.1e-05 1
4 0 4.000001e-06 0.5
2 -0.01 7.000002e-06 0.62
4 0 5.999995e-06 3
4 0 1.1e-05 1
4 0 6.000002e-06 1
6 0.02 1e-06 1
2 -0.02 4.999994e-06 1
6 0.01 1e-06 0.5
4 0 6.000002e-06 0.5
2 -0.01 4.000001e-06 1
4 0 6.999995e-06 1
6 0.02 1e-06 1
2 -0.02 5.000002e-06 1
6 0.01 3.000001e-06 0.5
2 -0.01 3.000001e-06 1
4 0 6.000002e-06 1
4 0 4.999994e-06 1
4 0 8.000003e-06 1
6 0.02 3.5e-05 1
3 -0.01 1.800001e-05 0.5
4 0 2.1e-05 0.5
4 0 4e-05 1
4 0 0.000217 1
5 0.01 0.000115 1
4 0 1e-06 1
3 -0.01 0 0.5
4 0 0 0.5
4 0 0.000357 0.5
4 0 0.000216 1
2 -0.01 6.999995e-06 1
4 0 0.000176 1
4 0 3.4e-05 1
4 0 0.005015 1
2 -0.01 0.000884 0.12
2 -0.02 1e-05 1.8
4 0 4.999994e-06 1.58
6 0.01 0.001871 1
7 0.03 0.109041 1
1 -0.03 0.913782 0.5
4 0 0.00209 0.17
7 0.085 0.106964 0.07
1 -0.085 0.010755 0.34
7 0.085 0.002962 0.01
1 -0.085 0.702908 0.02
7 0.05 0.572884 0.01
1 -0.05 2.708404 0.36
7 0.05 2.536018 9.38
4 0 0.41693 37.11
4 0 0.07826 15.44
4 0 0.03689 17.31
1 -0.042 1.37802 4
5 0.009 0.46356 4
7 0.0782 0.78926 1
1 -0.0782 0.19366 9
4 0 1.88569 10
7 0.0683 0.32743 4
1 -0.0683 1.24122 3
7 0.033 0.67764 0.01
1 -0.04 2.02513 0.5
4 0 0 1
4 0 0 0.5
4 0 9.999996e-06 0.5
3 -0.01 1e-05 2
4 0 0 1
4 0 9.999996e-06 0.5
4 0 0.00015 1
4 0 2e-05 1
5 0.01 1e-05 0.5
4 0 0 0.5
3 -0.01 4e-05 1
5 0.01 7e-05 1
4 0 0.00023 1
3 -0.01 0 1
5 0.01 0.00126 0.5
3 -0.01 0 0.5
7 0.085 0.00068 1
1 -0.085 0.01654 1
4 0 0.02481 0.64
4 0 4e-05 0.36
4 0 0.03832 0.36
4 0 1e-04 0.14
4 0 0.00047 0.64
2 -0.01 5e-05 2
7 0.16 2.41035 0.12
1 -0.075 2.76038 0.07
7 0.08 0.1664 1
4 0 0.01309 1
1 -0.1055 1.16988 0.03
1 -0.0595 6e-04 0.03
6 0.01 0.36492 1
4 0 2e-05 0.93
4 0 1e-05 0.5
2 -0.01 0 0.5
4 0 9.999996e-06 1
4 0 1e-05 1
4 0 0 2.07
7 0.165 0.51538 1
1 -0.139 0.04439 4
5 0.004 0.00336 0.6
4 0 0 0.4
2 -0.01 1e-05 1
3 -0.01 9.999996e-06 1
4 0 0 2
7 0.04 7e-05 1
1 -0.025 0.00042 1
7 0.04 0.07687 0.15
1 -0.045 0.16376 0.4
3 -0.01 3e-05 0.31
5 0.002 0.05421 7
2 -0.0119 0.55258 0.1
7 0.1199 1.00706 1
1 -0.0684 3.34193 1
7 0.0684 1.72925 3
1 -0.06 0.13443 10
4 0 0.00399 10
4 0 0.02242 20
4 0 0.01388 40
7 0.05 0.58665 1
4 0 0.00016 1
4 0 2e-05 1
4 0 0.00036 1
6 0.01 0 1
1 -0.06 0.00078 1
4 0 0.00615 2
4 0 0.00746 4
1 -0.04 0.0236 4
7 0.04 0.05229 1
7 0.055 0.01934 1
3 -0.005 0.89112 1
6 0.01 0 1
4 0 0.00014 1
4 0 4e-05 1
4 0 0.00011 1
1 -0.06 2e-05 1
7 0.06 0.00028 1
4 0 0.00285 1
4 0 9e-05 1
1 -0.03 1e-05 1
5 0.01 4e-05 1
7 0.03 0.00047 1
6 0.01 0 0.07
2 -0.01 0.00042 0.5
6 0.01 5e-05 0.93
1 -0.04 9e-05 1
7 0.03 0.00018 0.5
7 0.02 0 0.5
4 0 1.21076 2
4 0 0.01183 3
4 0 0.01562 1
4 0 1e-05 1
1 -0.04 8e-05 1
7 0.05 0.00028 1
4 0 0 1
6 0.01 1e-05 1
4 0 0 1
4 0 9.999996e-06 1
1 -0.09 5e-05 1
7 0.07 0.4383 1
1 -0.04 8.999999e-05 1
7 0.06 2e-05 1
4 0 0 1
1 -0.06 0.00133 1
7 0.06 2.41369 2
1 -0.075 1.66476 1
4 0 0.14697 1
4 0 3.09099 1
3 -0.005 0.13642 1
7 0.08 0.01969 2
1 -0.0894 0.59061 0.1
6 0.0194 1.25262 4
5 0.0084 0.22303 10
3 -0.0084 4.77556 2
1 -0.04 0.00441 1
4 0 0.00028 1
2 -0.01 4e-05 1
6 0.01 8e-05 1
4 0 1e-05 1
2 -0.02 9.999996e-06 1
4 0 3e-05 1
6 0.02 0.00017 1
7 0.1 0.01739 1
1 -0.06 0.22478 5
4 0 2.06542 2
4 0 2.68781 1
7 0.06 0.66816 1
1 -0.12 2.574756 1
7 0.06 1.757313 3
1 -0.06 0.442292 1
4 0 0.003439 1
7 0.06 1.9153 2
1 -0.06 0.268892 0.08
4 0 1.931582 1
2 -0.01 0.000195 2
4 0 0 4
4 0 0.001001 1
7 0.035 0.000159 1
1 -0.025 0.003895 0.5
4 0 0.000189 0.5
2 -0.01 0.000633 1
4 0 0.002926 2
4 0 0 2
4 0 0.00184 1
6 0.01 0.00204 1
2 -0.01 4.000001e-06 1
4 0 6.000002e-06 2
4 0 3.000001e-06 1
4 0 4.000001e-06 1
4 0 3.999994e-06 1
4 0 6.000002e-06 10
4 0 9.4e-05 1
6 0.01 3.000001e-06 0.92
4 0 2.999994e-06 1
2 -0.01 2.000001e-06 1
4 0 3.000001e-06 1
4 0 4.000001e-06 7.08
4 0 2.000001e-06 7
6 0.01 1.1e-05 1
2 -0.01 7.000002e-06 1
4 0 1.7e-05 7
4 0 4.1e-05 1
2 -0.01 5.4e-05 0.75
6 0.01 0.000103 2
4 0 1e-05 1
2 -0.01 0.000142 0.5
4 0 0.000135 0.25
4 0 5.000002e-06 0.75
4 0 7.3e-05 0.25
3 -0.01 7.000002e-06 1
4 0 5.000002e-06 1
4 0 4.999994e-06 1
7 0.03 5.1e-05 1
2 -0.01 0 1
4 0 1e-06 7
2 -0.01 9.999996e-06 0.5
6 0.01 2.3e-05 1
2 -0.02 5e-05 1
6 0.02 3e-05 2
1 -0.03 2.4e-05 1.25
4 0 0.000153 0.75
4 0 0.000155 0.25
4 0 0.000121 0.5
6 0.01 0.000104 0.25
2 -0.01 4.6e-05 0.28
4 0 5.999995e-06 0.72
4 0 0.000101 0.28
4 0 3.999994e-06 0.72
4 0 2.000001e-05 0.25
4 0 4.599999e-05 0.25
4 0 3.000001e-06 1
6 0.01 2e-05 0.5
4 0 0 0.25
2 -0.01 0.000106 0.25
4 0 0.000184 1.03
6 0.01 0.00026 0.2
4 0 4.999994e-06 1
4 0 6.000002e-06 1
5 0.01 0.000274 3
2 -0.02 0.000389 0.02
4 0 1.2e-05 1
4 0 2.3e-05 0.98
4 0 4.999994e-06 0.02
4 0 4.8e-05 0.98
7 0.04 0.000751 1
1 -0.05 0.000341 0.23
7 0.02 0.000404 1
2 -0.01 0.000272 1
6 0.01 0 0.2
2 -0.01 8.7e-05 1
6 0.01 0.000304 1
4 0 0.000288 0.8
4 0 0 0.2
5 0.01 0.000605 1
6 0.01 0.000633 1
4 0 8.999996e-06 1
4 0 0.000273 3
4 0 0.012936 1
4 0 0.00293 1
3 -0.007 0.04083 13
5 0.007 0.037219 1
7 0.0775 0.062664 16
1 -0.0225 0.001577 1
7 0.085 0.005451 2
1 -0.14 8.000001e-05 1
4 0 0.000412 1
4 0 1.800001e-05 1
4 0 2e-05 1
5 0.005 0.061258 1
3 -0.005 0.009957 1
7 0.14 0.005559 1
1 -0.14 0.172968 1
4 0 0.000145 1
2 -0.01 0.000276 1
4 0 0.003501 1
6 0.01 6.000002e-06 1
4 0 7.000002e-06 1
4 0 4.999994e-06 1
4 0 0.000174 1
4 0 0.003191 4.33
6 0.01 0.002187 1
2 -0.01 0.000324 0.22
4 0 0.000841 0.63
4 0 0.000156 0.07
4 0 0.000128 1
4 0 0.000128 1
4 0 0.000989 1
4 0 0.002521 1
6 0.01 0.000215 0.75
2 -0.01 0.001232 1
7 0.07 5.9e-05 1
1 -0.07 0.076106 1
5 0.005 0.018303 1
3 -0.005 0.005713 1
7 0.11 0.007394 1
1 -0.11 0.00136 1
4 0 0.001559 1
7 0.065 0.879034 3
7 0.06 0.051563 1
1 -0.0735 0.099072 3.39
7 0.0785 0.31956 2
4 0 0.00241 1.12
6 0.01 0.0245 1
1 -0.075 0.50216 2
7 0.075 0.25608 1
1 -0.075 0.00293 1
4 0 0.00365 1
7 0.075 0.00148 1
1 -0.075 0.0062 1
4 0 0.05352 2.1
2 -0.015 0.43804 1
1 -0.04 0 1
2 -0.01 9.999996e-06 1
4 0 0 7.2
6 0.01 0.00015 1
6 0.02 0.0226 1
4 0 0.00021 1
6 0.02 0.00742 0.9
7 0.05 0 0.1
1 -0.05 0.37384 1
4 0 0.83349 1
6 0.01 1.00025 2
1 -0.04 0.00436 8
7 0.04 0.01466 1
7 0.05 0.00016 1
1 -0.05 0.00186 1
4 0 0.00316 1
1 -0.04 0.10321 20
7 0.09 0.01766 1
4 0 9.999996e-06 2
1 -0.05 0.00281 3
4 0 0.85266 2
7 0.05 0.116 1
1 -0.05 0.88289 1
4 0 0.00072 1
4 0 0.99971 2
5 0.01 1.00027 2
7 0.04 0.02843 1
1 -0.04 0.62225 1
5 0.005 0.34957 2
5 0.01 1.00174 2
4 0 8.000001e-05 2
4 0 0.00143 1
7 0.025 1.18521 3
1 -0.04 0.72222 1
7 0.02 7e-05 2
4 0 0 1
5 0.01 5e-05 1
2 -0.02 4e-05 1
7 0.03 0.04175 1
4 0 4e-05 1
4 0 0 1
2 -0.02 0.00036 1
4 0 3e-05 1
6 0.02 1e-05 0.02
2 -0.02 0.00492 1
6 0.02 0.01954 1
4 0 4e-05 1.98
4 0 9.999996e-06 1
4 0 0 1
4 0 0.02489 1
4 0 1e-05 1
2 -0.01 0.00038 1
6 0.01 1e-05 1
4 0 0.00043 1
2 -0.01 0.00653 1
6 0.01 0.00011 1
4 0 0.05277 1
4 0 0.93726 1
4 0 9.999996e-06 2
6 0.01 0.00253 1
4 0 0.01182 0.25
5 0.01 0.0044 1
3 -0.01 0.00037 1
4 0 9.999996e-06 1
4 0 1e-05 1
4 0 2e-05 1
4 0 0.00156 0.37
4 0 0.00016 0.25
4 0 0.00288 1
5 0.01 0.00827 1
4 0 0.76912 1
4 0 8.000001e-05 1
4 0 9.999996e-06 1
3 -0.01 0.00039 1
4 0 0.00053 1
4 0 9e-05 1
5 0.01 0.00108 1
3 -0.01 0.00302 3
4 0 0.00119 1
4 0 0.00108 1
4 0 0.14715 1
5 0.01 1e-05 1
4 0 0 1
4 0 3e-05 1
3 -0.01 0.00036 1
4 0 0.00061 1
5 0.01 0 1
4 0 0.00024 1
4 0 2e-04 1
6 0.01 0.00191 1
2 -0.01 4e-04 1
4 0 0.00072 1
4 0 0.04275 1
3 -0.005 0.99666 1
6 0.015 1.00227 1
1 -0.03 2.14661 1
7 0.025 0.85304 4
7 0.025 0.0082 1
1 -0.025 0.91917 1
2 -0.015 2.17135 0.2
4 0 1e-05 0.1
2 -0.01 0 1
4 0 1e-05 1
4 0 0 0.7
4 0 0.00012 0.3
4 0 6e-05 1
4 0 0.00012 1
4 0 0.00178 1
2 -0.01 0.00011 1
3 -0.01 0.28941 1
4 0 0 1
4 0 0.22211 1
4 0 0 1
4 0 0.00064 1
5 0.005 0.00145 1
2 -0.015 0.22509 1
7 0.04 2.16048 1
6 0.02 1e-04 1
6 0.02 0.122 2
4 0 0.04287 1
4 0 0.11837 1
1 -0.04 1.96538 1
4 0 0.00476 2
1 -0.032 0.01864 2
7 0.072 1.28794 1
4 0 0 1
1 -0.04 0.00098 1
7 0.03 0.04187 1
