date hour min sec    price volume
20170206 8 0 2.132628 80.46 100
20170206 8 37 26.09878 82 23
20170206 9 7 43.68962 80.46 100
20170206 9 8 1.205831 80.47 1
20170206 9 9 4.830959 80.47 49
20170206 9 28 50.02884 80.45 498
20170206 9 29 5.149768 80.69 4
20170206 9 30 0.2033605 80.53 63103
20170206 9 30 0.2033851 80.53 63103
20170206 9 30 1.020596 80.7 1
20170206 9 30 2.806759 80.53 3
20170206 9 30 4.15112 80.52 67
20170206 9 30 4.151131 80.51 100
20170206 9 30 4.151135 80.51 50
20170206 9 30 4.151142 80.5 62
20170206 9 30 4.151148 80.5 300
20170206 9 30 4.151159 80.5 100
20170206 9 30 4.151165 80.5 100
20170206 9 30 4.151166 80.52 100
20170206 9 30 4.151171 80.5 100
20170206 9 30 4.151172 80.51 50
20170206 9 30 4.151178 80.51 50
20170206 9 30 4.151182 80.5 100
20170206 9 30 4.151189 80.5 100
20170206 9 30 4.15119 80.52 100
20170206 9 30 4.151195 80.5 100
20170206 9 30 4.151198 80.51 50
20170206 9 30 4.151201 80.5 100
20170206 9 30 4.151207 80.5 100
20170206 9 30 4.151212 80.5 100
20170206 9 30 4.15122 80.5 100
20170206 9 30 4.151255 80.52 100
20170206 9 30 4.151273 80.51 50
20170206 9 30 4.151294 80.51 50
20170206 9 30 4.151334 80.51 100
20170206 9 30 4.151551 80.51 100
20170206 9 30 4.151666 80.52 100
20170206 9 30 4.151667 80.52 100
20170206 9 30 4.151667 80.51 50
20170206 9 30 4.151667 80.51 50
20170206 9 30 4.152024 80.51 50
20170206 9 30 4.15224 80.51 100
20170206 9 30 4.152247 80.5 100
20170206 9 30 4.152423 80.5 100
20170206 9 30 4.152457 80.5 100
20170206 9 30 4.157472 80.5 100
20170206 9 30 4.158356 80.49 12
20170206 9 30 4.158366 80.47 180
20170206 9 30 4.158371 80.47 158
20170206 9 30 4.160242 80.48 100
20170206 9 30 4.269283 80.51 100
20170206 9 30 5.183065 80.48 50
20170206 9 30 5.185155 80.48 17
20170206 9 30 5.292119 80.565 7
20170206 9 30 5.302874 80.48 34
20170206 9 30 5.305836 80.565 1
20170206 9 30 6.008744 80.48 2
20170206 9 30 6.581628 80.53 1
20170206 9 30 9.290032 80.48 36
20170206 9 30 11.82605 80.53 938
20170206 9 30 12.24298 80.53 3711
20170206 9 30 12.32124 80.53 1544
20170206 9 30 12.35813 80.53 1731
20170206 9 30 13.73615 80.488 400
20170206 9 30 14.19971 80.497 400
20170206 9 30 14.98897 80.5752 100
20170206 9 30 15.18263 80.497 900
20170206 9 30 17.06832 80.497 1000
20170206 9 30 17.39575 80.5653 400
20170206 9 30 18.63697 80.497 300
20170206 9 30 19.31461 80.53 1
20170206 9 30 21.33974 80.49 50
20170206 9 30 21.33974 80.49 100
20170206 9 30 21.33974 80.49 50
20170206 9 30 21.33975 80.49 50
20170206 9 30 21.33976 80.48 200
20170206 9 30 21.33976 80.48 100
20170206 9 30 21.33977 80.48 50
20170206 9 30 21.33992 80.48 100
20170206 9 30 21.33994 80.48 100
20170206 9 30 21.33995 80.49 50
20170206 9 30 21.33995 80.49 50
20170206 9 30 21.33999 80.48 100
20170206 9 30 21.34006 80.49 100
20170206 9 30 21.34029 80.49 100
20170206 9 30 21.34029 80.48 100
20170206 9 30 21.34155 80.49 50
20170206 9 30 21.34155 80.48 50
20170206 9 30 21.34223 80.565 100
20170206 9 30 21.35877 80.48 100
20170206 9 30 21.38358 80.48 64
20170206 9 30 21.38362 80.48 36
20170206 9 30 21.42194 80.48 36
20170206 9 30 21.42204 80.48 14
20170206 9 30 21.42251 80.48 64
20170206 9 30 21.42256 80.47 200
20170206 9 30 23.83291 80.63 12
20170206 9 30 26.59329 80.555 7
20170206 9 30 26.75969 80.635 100
20170206 9 30 26.77278 80.635 100
20170206 9 30 27.94266 80.5295 3
20170206 9 30 27.94326 80.47 3
20170206 9 30 28.30818 80.48 100
20170206 9 30 28.3082 80.48 93
20170206 9 30 28.30821 80.48 50
20170206 9 30 28.30821 80.47 50
20170206 9 30 28.30822 80.47 100
